eval,T,current_cost,best_cost,accepted
2,250.0,848.0,846.0,1
3,237.5,836.0,836.0,1
4,225.625,832.0,832.0,1
5,214.34375,863.0,832.0,1
6,203.62656249999998,796.0,796.0,1
7,193.44523437499996,738.0,738.0,1
8,183.77297265624995,738.0,738.0,0
9,174.58432402343743,764.0,738.0,1
10,165.85510782226555,759.0,738.0,1
11,157.56235243115228,728.0,728.0,1
12,149.68423480959467,728.0,728.0,0
13,142.20002306911493,738.0,728.0,1
14,135.09002191565918,782.0,728.0,1
15,128.33552081987622,764.0,728.0,1
16,121.9187447788824,770.0,728.0,1
17,115.82280753993827,770.0,728.0,1
18,110.03166716294135,751.0,728.0,1
19,104.53008380479427,751.0,728.0,0
20,99.30357961455455,791.0,728.0,1
21,94.33840063382682,828.0,728.0,1
22,89.62148060213548,800.0,728.0,1
23,85.1404065720287,794.0,728.0,1
24,80.88338624342725,810.0,728.0,1
25,76.83921693125589,786.0,728.0,1
26,72.99725608469309,828.0,728.0,1
27,69.34739328045843,862.0,728.0,1
28,65.88002361643551,828.0,728.0,1
29,62.58602243561373,785.0,728.0,1
30,59.456721313833036,790.0,728.0,1
31,56.483885248141384,810.0,728.0,1
32,53.659690985734315,812.0,728.0,1
33,50.9767064364476,798.0,728.0,1
34,48.42787111462522,829.0,728.0,1
35,46.006477558893955,829.0,728.0,0
36,43.70615368094926,841.0,728.0,1
37,41.52084599690179,798.0,728.0,1
38,39.4448036970567,778.0,728.0,1
39,37.47256351220386,769.0,728.0,1
40,35.59893533659367,759.0,728.0,1
41,33.81898856976398,795.0,728.0,1
42,32.12803914127578,741.0,728.0,1
43,30.521637184211986,741.0,728.0,0
44,28.995555325001387,751.0,728.0,1
45,27.545777558751315,733.0,728.0,1
46,26.16848868081375,733.0,728.0,0
47,24.86006424677306,733.0,728.0,0
48,23.617061034434407,733.0,728.0,0
49,22.436207982712684,761.0,728.0,1
50,21.314397583577048,742.0,728.0,1
51,20.248677704398194,752.0,728.0,1
52,19.236243819178284,778.0,728.0,1
53,18.274431628219368,772.0,728.0,1
54,17.3607100468084,772.0,728.0,0
55,16.492674544467977,756.0,728.0,1
56,15.668040817244577,772.0,728.0,1
57,14.884638776382348,772.0,728.0,0
58,14.14040683756323,756.0,728.0,1
59,13.433386495685069,756.0,728.0,0
60,12.761717170900814,756.0,728.0,0
61,12.123631312355773,750.0,728.0,1
62,11.517449746737984,764.0,728.0,1
63,10.941577259401084,764.0,728.0,0
64,10.394498396431029,763.0,728.0,1
65,9.874773476609477,751.0,728.0,1
66,9.381034802779002,751.0,728.0,0
67,8.91198306264005,723.0,723.0,1
68,8.466383909508048,695.0,695.0,1
69,8.043064714032646,695.0,695.0,0
70,7.640911478331013,695.0,695.0,0
71,7.258865904414462,695.0,695.0,0
72,6.895922609193739,695.0,695.0,0
73,6.5511264787340515,695.0,695.0,0
74,6.223570154797349,695.0,695.0,0
75,5.912391647057481,695.0,695.0,0
76,5.616772064704606,672.0,672.0,1
77,5.335933461469375,672.0,672.0,0
78,5.069136788395906,668.0,668.0,1
79,4.81567994897611,668.0,668.0,0
80,4.574895951527305,668.0,668.0,0
81,4.346151153950939,668.0,668.0,0
82,4.128843596253392,668.0,668.0,0
83,3.9224014164407226,668.0,668.0,0
84,3.7262813456186863,668.0,668.0,0
85,3.539967278337752,642.0,642.0,1
86,3.362968914420864,642.0,642.0,0
87,3.1948204686998207,642.0,642.0,1
88,3.0350794452648295,642.0,642.0,0
89,2.883325473001588,642.0,642.0,0
90,2.739159199351508,642.0,642.0,0
91,2.6022012393839327,642.0,642.0,0
92,2.472091177414736,642.0,642.0,0
93,2.348486618543999,642.0,642.0,0
94,2.231062287616799,642.0,642.0,0
95,2.1195091732359588,642.0,642.0,0
96,2.0135337145741605,640.0,640.0,1
97,1.9128570288454525,640.0,640.0,0
98,1.8172141774031798,640.0,640.0,0
99,1.7263534685330206,640.0,640.0,0
100,1.6400357951063695,640.0,640.0,0
101,1.558034005351051,640.0,640.0,0
102,1.4801323050834985,640.0,640.0,0
103,1.4061256898293235,640.0,640.0,0
104,1.3358194053378574,640.0,640.0,0
105,1.2690284350709644,640.0,640.0,0
106,1.2055770133174162,640.0,640.0,0
107,1.1452981626515453,642.0,640.0,1
108,1.088033254518968,642.0,640.0,0
109,1.0336315917930194,642.0,640.0,0
110,0.9819500122033684,642.0,640.0,0
111,0.9328525115931999,642.0,640.0,0
112,0.8862098860135399,642.0,640.0,0
113,0.8418993917128629,642.0,640.0,0
114,0.7998044221272197,642.0,640.0,0
115,0.7598142010208587,642.0,640.0,0
116,0.7218234909698158,642.0,640.0,0
117,0.6857323164213249,642.0,640.0,0
118,0.6514457006002586,642.0,640.0,0
119,0.6188734155702457,642.0,640.0,0
120,0.5879297447917333,642.0,640.0,0
121,0.5585332575521467,642.0,640.0,0
122,0.5306065946745393,642.0,640.0,0
123,0.5040762649408123,642.0,640.0,0
124,0.47887245169377163,642.0,640.0,0
125,0.454928829109083,642.0,640.0,0
126,0.4321823876536288,642.0,640.0,0
127,0.41057326827094737,642.0,640.0,0
128,0.3900446048574,631.0,631.0,1
129,0.37054237461453,631.0,631.0,0
130,0.3520152558838035,631.0,631.0,0
131,0.3344144930896133,631.0,631.0,0
132,0.31769376843513264,631.0,631.0,0
133,0.301809080013376,631.0,631.0,0
134,0.28671862601270715,631.0,631.0,0
135,0.27238269471207177,631.0,631.0,0
136,0.25876355997646816,631.0,631.0,0
137,0.24582538197764475,631.0,631.0,0
138,0.2335341128787625,631.0,631.0,0
139,0.22185740723482436,631.0,631.0,0
140,0.21076453687308314,631.0,631.0,0
