run_id,schedule,alpha_move,stopping,Tmin,max_evals,start,start_seed,best_cost,evals,final_T,seed,best_perm
1,Case1: alpha_0.90,0.9,Case1: Stop_Tmin_1e-3,0.001,100000,Start1: seed_101,101,665.0,119,0.0009966808697526432,3001,[14  9  2  4 10 13  5 11 12  3  0  1  7  6  8]
2,Case1: alpha_0.90,0.9,Case1: Stop_Tmin_1e-3,0.001,100000,Start2: seed_202,202,587.0,119,0.0009966808697526432,3002,[ 4  3  7  9 11 13  6  1  5 14  0 10  2  8 12]
3,Case1: alpha_0.90,0.9,Case1: Stop_Tmin_1e-3,0.001,100000,Start3: seed_303,303,617.0,119,0.0009966808697526432,3003,[14 12  8 13  2  4 11 10  1  9  0  5  6  7  3]
4,Case1: alpha_0.90,0.9,Case1: Stop_Tmin_1e-3,0.001,100000,Start4: seed_404,404,612.0,119,0.0009966808697526432,3004,[10 11  7  5  8  1 13 14  9  0  4  3 12  2  6]
5,Case1: alpha_0.90,0.9,Case1: Stop_Tmin_1e-3,0.001,100000,Start5: seed_505,505,645.0,119,0.0009966808697526432,3005,[ 5  7 11 10  2  3 13  4  8  0  9 14  6 12  1]
6,Case1: alpha_0.90,0.9,Case2: Stop_budget_30k,0.0,30000,Start1: seed_101,101,625.0,30000,2.5e-323,3006,[ 0  1  3  2 12 10 13  8  7  4  9 14  6 11  5]
7,Case1: alpha_0.90,0.9,Case2: Stop_budget_30k,0.0,30000,Start2: seed_202,202,602.0,30000,2.5e-323,3007,[10  0 13 12  8  4  7 11  6 14  5  2  1  3  9]
8,Case1: alpha_0.90,0.9,Case2: Stop_budget_30k,0.0,30000,Start3: seed_303,303,590.0,30000,2.5e-323,3008,[11 12  6  1  2 10  3 13  9  0 14  4  8  7  5]
9,Case1: alpha_0.90,0.9,Case2: Stop_budget_30k,0.0,30000,Start4: seed_404,404,584.0,30000,2.5e-323,3009,[10 11 13 12  3  4  2  1  5 14  0  7  6  8  9]
10,Case1: alpha_0.90,0.9,Case2: Stop_budget_30k,0.0,30000,Start5: seed_505,505,598.0,30000,2.5e-323,3010,[ 4  3  8  9  7 12 11  6  0 14  5 10  1  2 13]
11,Case1: alpha_0.90,0.9,Case3: Stop_Tmin_1e-6,1e-06,100000,Start1: seed_101,101,612.0,185,9.51835164978262e-07,3011,[ 3  2 12 13  8  4  6  7  0 14  5 10  1 11  9]
12,Case1: alpha_0.90,0.9,Case3: Stop_Tmin_1e-6,1e-06,100000,Start2: seed_202,202,617.0,185,9.51835164978262e-07,3012,[12  7 11 10  3  0  8 13  9  5 14  4  6  2  1]
13,Case1: alpha_0.90,0.9,Case3: Stop_Tmin_1e-6,1e-06,100000,Start3: seed_303,303,614.0,185,9.51835164978262e-07,3013,[ 2  7  6  1  3 10  8 14 13  0  9  4 12 11  5]
14,Case1: alpha_0.90,0.9,Case3: Stop_Tmin_1e-6,1e-06,100000,Start4: seed_404,404,612.0,185,9.51835164978262e-07,3014,[ 9  8 13 14  1  2 10  0  6  4  5 11 12  7  3]
15,Case1: alpha_0.90,0.9,Case3: Stop_Tmin_1e-6,1e-06,100000,Start5: seed_505,505,614.0,185,9.51835164978262e-07,3015,[ 0  5 11 10  3 12  9  7  2 14  8  4  1  6 13]
16,Case2: alpha_0.95,0.95,Case1: Stop_Tmin_1e-3,0.001,100000,Start1: seed_101,101,594.0,244,0.0009655529473313844,3016,[13 12  2  3  1 14  6 11  5  4 10  0  7  8  9]
17,Case2: alpha_0.95,0.95,Case1: Stop_Tmin_1e-3,0.001,100000,Start2: seed_202,202,620.0,244,0.0009655529473313844,3017,[ 0  5  3  1 14  9 11  6 13  2 10 12  7  8  4]
18,Case2: alpha_0.95,0.95,Case1: Stop_Tmin_1e-3,0.001,100000,Start3: seed_303,303,604.0,244,0.0009655529473313844,3018,[ 3  2 11 13  8  4  6  1  5 14  0 10  7 12  9]
19,Case2: alpha_0.95,0.95,Case1: Stop_Tmin_1e-3,0.001,100000,Start4: seed_404,404,617.0,244,0.0009655529473313844,3019,[ 0  5  7  1  8  3  9 13 11  4 12 14 10  6  2]
20,Case2: alpha_0.95,0.95,Case1: Stop_Tmin_1e-3,0.001,100000,Start5: seed_505,505,650.0,244,0.0009655529473313844,3020,[ 4  3 12  9 11  0 13  7  5 14  6  8  2  1 10]
21,Case2: alpha_0.95,0.95,Case2: Stop_budget_30k,0.0,30000,Start1: seed_101,101,632.0,30000,4.4e-323,3021,[10 12  8 11  3  9  6  7  2  5  1  0 13 14  4]
22,Case2: alpha_0.95,0.95,Case2: Stop_budget_30k,0.0,30000,Start2: seed_202,202,599.0,30000,4.4e-323,3022,[ 4  3  5  0 12  6  7  8 13 10  9 14  2  1 11]
23,Case2: alpha_0.95,0.95,Case2: Stop_budget_30k,0.0,30000,Start3: seed_303,303,601.0,30000,4.4e-323,3023,[ 9  8 13 14  1  2 10 11  6  4  5  0 12  7  3]
24,Case2: alpha_0.95,0.95,Case2: Stop_budget_30k,0.0,30000,Start4: seed_404,404,592.0,30000,4.4e-323,3024,[ 9 14  3  4 11 10  2 12  6  0  7  1  8 13  5]
25,Case2: alpha_0.95,0.95,Case2: Stop_budget_30k,0.0,30000,Start5: seed_505,505,609.0,30000,4.4e-323,3025,[ 5  0 11 10  8  2 13  3  4 12  9 14  1  6  7]
26,Case2: alpha_0.95,0.95,Case3: Stop_Tmin_1e-6,1e-06,100000,Start1: seed_101,101,616.0,378,9.993996719889625e-07,3026,[12 11  2  3  7  9  1  6 10  4  5  0 13  8 14]
27,Case2: alpha_0.95,0.95,Case3: Stop_Tmin_1e-6,1e-06,100000,Start2: seed_202,202,608.0,378,9.993996719889625e-07,3027,[11 12  2  1  4  5  9  3  8 10 13 14  7  6  0]
28,Case2: alpha_0.95,0.95,Case3: Stop_Tmin_1e-6,1e-06,100000,Start3: seed_303,303,602.0,378,9.993996719889625e-07,3028,[ 5  0  8  3 13  4 12 11  6  9 10  7  1  2 14]
29,Case2: alpha_0.95,0.95,Case3: Stop_Tmin_1e-6,1e-06,100000,Start4: seed_404,404,608.0,378,9.993996719889625e-07,3029,[ 1  0  7  2 13 14 12 10 11  4  5  3  6  8  9]
30,Case2: alpha_0.95,0.95,Case3: Stop_Tmin_1e-6,1e-06,100000,Start5: seed_505,505,598.0,378,9.993996719889625e-07,3030,[11 12  8 13  2  4 10  5  6 14  0  1  7  3  9]
31,Case3: alpha_0.98,0.98,Case1: Stop_Tmin_1e-3,0.001,100000,Start1: seed_101,101,609.0,617,0.000984470337614805,3031,[11 12  4  3  6 13  2  1  5 14  0 10  7  8  9]
32,Case3: alpha_0.98,0.98,Case1: Stop_Tmin_1e-3,0.001,100000,Start2: seed_202,202,609.0,617,0.000984470337614805,3032,[13 12  0  1  8 11  2  3  9 10  4 14  7  6  5]
33,Case3: alpha_0.98,0.98,Case1: Stop_Tmin_1e-3,0.001,100000,Start3: seed_303,303,647.0,617,0.000984470337614805,3033,[ 3  8  5  0 13 14 11  6  2 10  1 12  7  9  4]
34,Case3: alpha_0.98,0.98,Case1: Stop_Tmin_1e-3,0.001,100000,Start4: seed_404,404,608.0,617,0.000984470337614805,3034,[ 0  2  6  1 12  5  8 13  4 10  9 14  3  7 11]
35,Case3: alpha_0.98,0.98,Case1: Stop_Tmin_1e-3,0.001,100000,Start5: seed_505,505,602.0,617,0.000984470337614805,3035,[14  9 12 13  6  5  3  7  1 10  2  0  4  8 11]
36,Case3: alpha_0.98,0.98,Case2: Stop_budget_30k,0.0,30000,Start1: seed_101,101,602.0,30000,1.5452000297168196e-261,3036,[14  4 11 12  6  0  7 13  8 10  9  2  3  1  5]
37,Case3: alpha_0.98,0.98,Case2: Stop_budget_30k,0.0,30000,Start2: seed_202,202,606.0,30000,1.5452000297168196e-261,3037,[ 0 10  7  5  8  1  9 13 12  3 14  4 11  6  2]
38,Case3: alpha_0.98,0.98,Case2: Stop_budget_30k,0.0,30000,Start3: seed_303,303,599.0,30000,1.5452000297168196e-261,3038,[10  5  8 13  2  9 12  7  1 14  6 11  0  3  4]
